handle,display_name,type,priority,status,source,genres,note
"@FANZAdougaX","FANZA動画公式","セール告知系","1","候補","Grok調査",,"Grok目安 9.4万（2026-09-17）｜FANZA動画公式"
"@DMM10sale","セール速報","セール告知系","1","候補","Grok調査",,"Grok目安 5.1万（2026-09-17）｜セール速報。束3 C型（セール即応）の検知元としても使う"
"@fanza_sns","FANZA総合公式","セール告知系","2","候補","Grok調査",,"Grok目安 19.9万（2026-09-17）｜FANZA総合公式"
"@fanza_meireview","AVレビュー紹介","レビュー系","1","候補","Grok調査",,"Grok目安 0.9万（2026-09-17）｜AVレビュー紹介。規模は小さいが読者層一致"
"@AViiyone","AVレビュー紹介","レビュー系","1","候補","Grok調査",,"Grok目安 0.8万（2026-09-17）｜AVレビュー紹介。規模は小さいが読者層一致"
"@shirot_AV_chosa","AVレビュー紹介","レビュー系","1","候補","Grok調査",,"Grok目安 0.5万（2026-09-17）｜AVレビュー紹介。規模は小さいが読者層一致"
"@otona_rank_info","（未確認）","レビュー系",,"候補","Grok調査",,"Grok目安 不明（2026-09-17）｜【保留・CSO 2026-09-17】内容実査後に priority を判定。priority は空のまま"
"@Madonna_AVinfo","マドンナ","メーカー公式","1","候補","Grok調査","熟女|人妻・主婦","Grok目安 9万（2026-09-17）｜マドンナ｜cache上位: 熟女(1562)/人妻・主婦(1292)"
"@PREMIUM_AV","PREMIUM","メーカー公式","1","候補","Grok調査","企画|お姉さん","Grok目安 7.1万（2026-09-17）｜PREMIUM｜genres は CSO 例示（企画）。cache上位: お姉さん(120)/巨乳(91)"
"@kawaii_pr","kawaii*","メーカー公式","1","候補","Grok調査","美少女|スレンダー","Grok目安 6.7万（2026-09-17）｜kawaii*｜cache上位: 美少女(261)/淫乱・ハード系(106)"
"@attackers_av","アタッカーズ","メーカー公式","1","候補","Grok調査","辱め|人妻・主婦|ドラマ","Grok目安 6.1万（2026-09-17）｜アタッカーズ｜cache上位: 辱め(278)/人妻・主婦(182)/ドラマ(174)"
"@Fitch_official","Fitch","メーカー公式","1","候補","Grok調査","巨乳|痴女","Grok目安 6万（2026-09-17）｜Fitch｜cache上位: 巨乳(292)/痴女(86)"
"@PRESTIGE_PR2020","プレステージ","メーカー公式","1","候補","Grok調査",,"Grok目安 5.1万（2026-09-17）｜プレステージ｜cache 0 件（maker 名一致なし）のため genres 空"
"@SOFT_ON_DEMAND","SOD広報","メーカー公式","1","候補","Grok調査","企画|OL","Grok目安 4.9万（2026-09-17）｜SOD広報｜genres は CSO 例示（企画系）。cache上位（SODクリエイト）: 巨乳(283)/OL(210)/企画(209)"
"@wanz_official","ワンズファクトリー","メーカー公式","1","候補","Grok調査","巨乳|痴女","Grok目安 4.7万（2026-09-17）｜ワンズファクトリー｜cache上位: 巨乳(146)/痴女(97)"
"@FalenoEvent","FALENO広報","メーカー公式","1","候補","Grok調査","巨乳|美少女","Grok目安 2.1万（2026-09-17）｜FALENO広報｜cache上位: 巨乳(178)/美少女(104)"
"@sodstarofficial","SODSTAR","メーカー公式","1","候補","Grok調査","企画","Grok目安 1.8万（2026-09-17）｜SODSTAR｜genres は CSO 例示（SOD 系＝企画）。cache に SODSTAR 名義の maker 無し"
"@honnaka_NN","本中","メーカー公式","1","候補","Grok調査","企画|美少女","Grok目安 1.2万（2026-09-17）｜本中｜genres は CSO 例示（企画）。cache上位: 美少女(133)/巨乳(94)"
"@IDEAPOCKETTER","アイデアポケット","メーカー公式","2","候補","Grok調査","美少女|お姉さん","Grok目安 18万（2026-09-17）｜アイデアポケット｜cache上位: 美少女(205)/巨乳(198)/お姉さん(167)"
"@MOODYZ_official","MOODYZ","メーカー公式","2","候補","Grok調査","巨乳|美少女","Grok目安 26万（2026-09-17）｜MOODYZ｜cache上位: 巨乳(652)/美少女(569)"
"@S1_No1_Style","エスワン","メーカー公式","3","候補","Grok調査","巨乳|美少女","Grok目安 36万（2026-09-17）｜エスワン。週1〜2件の対照用｜cache上位: 巨乳(637)/美少女(419)"
"@shinnakanodream","SOD女子社員","メーカー公式","3","候補","Grok調査","企画","Grok目安 24万（2026-09-17）｜SOD女子社員（企画系）。対照用｜genres は CSO 例示"
"@iyo_shinohara","篠原いよ","女優本人","1","候補","Grok調査","熟女|人妻・主婦","Grok目安 15.1万（2026-09-17）｜篠原いよ／マドンナ専属｜根拠=メーカー公式からのメンション｜cache 29 件: 人妻・主婦(25)/熟女(25)"
"@Aizawa_miyu03","逢沢みゆ","女優本人","1","候補","Grok調査","美少女|巨乳","Grok目安 20.1万（2026-09-17）｜逢沢みゆ／PREMIUM・MOODYZ・本中｜根拠=メーカー公式からのメンション｜cache 295 件: 美少女(125)/巨乳(92)"
"@nao_satsuki","彩月七緒","女優本人","1","候補","Grok調査","巨乳","Grok目安 23.5万（2026-09-17）｜彩月七緒／マドンナ・PREMIUM｜根拠=メーカー公式からのメンション｜cache 49 件: 巨乳(39)"
"@saki_seino","清野咲","女優本人","1","候補","Grok調査","美少女|スレンダー","Grok目安 7.1万（2026-09-17）｜清野咲／kawaii*専属｜根拠=メーカー公式からのメンション｜cache 18 件: 美少女(15)/スレンダー(8)"
"@karin_kitaoka_","北岡果林","女優本人","1","候補","Grok調査","美少女|痴女","Grok目安 10.2万（2026-09-17）｜北岡果林／本中・PREMIUM｜根拠=メーカー公式からのメンション｜cache 267 件: 美少女(145)/痴女(53)"
"@waka_misono","美園和花","女優本人","1","候補","Grok調査","巨乳|痴女","Grok目安 16.8万（2026-09-17）｜美園和花／アタッカーズ・本中｜根拠=メーカー公式からのメンション｜cache 609 件: 巨乳(308)/痴女(186)"
"@ran_tpowers","菊乃らん","女優本人","1","候補","Grok調査","巨乳","Grok目安 8.6万（2026-09-17）｜菊乃らん／Fitch専属｜根拠=メーカー公式からのメンション｜cache 43 件: 巨乳(38)"
"@Kizukiamane","希月あまね","女優本人","1","候補","Grok調査","お姉さん|巨乳","Grok目安 1.6万（2026-09-17）｜希月あまね／アイデアポケット専属｜根拠=メーカー公式からのメンション｜cache 1 件（デビュー作）: お姉さん/巨乳"
"@shiromine_miu","白峰ミウ","女優本人","2","候補","Grok調査","寝取り・寝取られ・NTR|巨乳","Grok目安 30.3万（2026-09-17）｜白峰ミウ／アタッカーズ｜根拠=メーカー公式からのメンション｜cache 120 件: 寝取り・寝取られ・NTR(23)/巨乳(23)"
"@Miyoshi_style","三好佑香","女優本人","2","候補","Grok調査","お姉さん|スレンダー","Grok目安 未取得（2026-09-17）｜三好佑香／PREMIUM｜根拠=メーカー公式からのメンション｜cache 17 件: お姉さん(9)/スレンダー(5)"
"@hinako_matsui","松井日奈子","女優本人","2","候補","Grok調査","美少女|巨乳","Grok目安 未取得（2026-09-17）｜松井日奈子／kawaii*｜根拠=メーカー公式からのメンション｜cache 144 件: 美少女(58)/巨乳(31)"
"@hosimiyaichika","星宮一花","女優本人","2","候補","Grok調査","美少女|スレンダー","Grok目安 未取得（2026-09-17）｜星宮一花／アタッカーズ｜根拠=メーカー公式からのメンション｜cache 137 件: 美少女(46)/巨乳(40)/スレンダー(37)"
"@azusa_hikari_","梓ヒカリ","女優本人","2","候補","Grok調査","巨乳|美少女","Grok目安 未取得（2026-09-17）｜梓ヒカリ／アタッカーズ｜根拠=メーカー公式からのメンション｜cache 116 件: 巨乳(35)/美少女(30)"
"@sakuramio_X","桜みお","女優本人","2","候補","Grok調査","お姉さん","Grok目安 未取得（2026-09-17）｜桜みお／アタッカーズ｜根拠=メーカー公式からのメンション｜cache 13 件: 看護婦・ナース(6)/お姉さん(5)"
"@mio_sakai_","坂井美桜","女優本人","2","候補","Grok調査","スレンダー|お姉さん","Grok目安 未取得（2026-09-17）｜坂井美桜／アイデアポケット｜根拠=メーカー公式からのメンション｜cache 14 件: スレンダー(9)/巨乳(8)/お姉さん(5)"
"@rinrin_dayou","鈴の家りん","女優本人","2","候補","Grok調査","巨乳|美少女","Grok目安 未取得（2026-09-17）｜鈴の家りん／本中｜根拠=メーカー公式からのメンション｜cache 42 件: 巨乳(20)/美少女(11)"
"@5may_itsukaichi","五日市芽依","女優本人","2","候補","Grok調査","巨乳|痴女","Grok目安 未取得（2026-09-17）｜五日市芽依／本中｜根拠=メーカー公式からのメンション｜cache 139 件: 巨乳(57)/痴女(36)"
"@piyomaru_cmore","海老咲あお","女優本人","2","候補","Grok調査","巨乳|痴女","Grok目安 未取得（2026-09-17）｜海老咲あお／Fitch｜根拠=メーカー公式からのメンション｜cache 51 件: 巨乳(26)/痴女(10)"
"@mayukiito","伊藤舞雪","女優本人","3","候補","Grok調査","美少女|巨乳","Grok目安 114万（2026-09-17）｜伊藤舞雪／kawaii*。対照用｜根拠=メーカー公式からのメンション｜cache 201 件: 美少女(98)/巨乳(60)"
"@umi_sea_0v0","八掛うみ","女優本人","3","候補","Grok調査",,"Grok目安 109万（2026-09-17）｜八掛うみ／プレステージ。対照用｜根拠=メーカー公式からのメンション｜cache 0 件のため genres 空"
